"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_33623","2881-33623","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33624","2881-33624","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33625","2881-33625","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_33626","2881-33626","Make Believe","kid","MakeBelieve-73",73,2,"Make Believe_73_2"
"CO_83310","2811-83310","Marte's","kid","Marty-01",1,1,"Marty's_1_1"
"CO_83311","2811-83311","Marte's","kid","Marty-01",1,1,"Marty's_1_1"
"CO_33670","2881-33670","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33671","2881-33671","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_33672","2881-33672","Marte's","kid","Marty-01",2,2,"Marte's_2_2"
"CO_T012","T012","Marte's","kid","Marty-01",1,1,"Marty's_1_1"
"CO_33700","2881-33700","Mary Ann's","kid","MaryAnns-01",1,2,"Mary Ann's_1_2"
"CO_T004","T004","Mary Ann's","kid","MaryAnns-01",1,2,"Mary Ann's_1_2"
"CO_T005","T005","Mary Ann's","kid","MaryAnns-01",1,2,"Mary Ann's_1_2"
"CO_33633","2881-33633","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33634","2881-33634","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33635","2881-33635","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_33636","2881-33636","McCauley","kid","McCauley-01",2,2,"McCauley_2_2"
"CO_34010","2881-34010","McCauley","kid","McCauley-01",1,1,"McCauley_1_1"
"CO_34011","2881-34011","McCauley","kid","McCauley-01",1,1,"McCauley_1_1"
"CO_33673","2881-33673","McCauley","kid","McCauley-04",4,1,"McCauley_4_1"
"CO_33674","2881-33674","McCauley","kid","McCauley-04",4,1,"McCauley_4_1"
"CO_33675","2881-33675","McCauley","kid","McCauley-04",4,1,"McCauley_4_1"
"CO_33676","2881-33676","McCauley","kid","McCauley-04",4,1,"McCauley_4_1"
"CO_34051","2881-34051","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"CO_34052","2881-34052","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"CO_34053","2881-34053","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"CO_34054","2881-34054","Speedwell","kid","Speedwell-01",1,1,"Speedwell_1_1"
"CO_33688","2881-33688","Struthers","kid","Struthers-03",3,2,"Struther's_3_2"
"CO_33689","2881-33689","Struthers","kid","Struthers-03",3,2,"Struther's_3_2"
"CO_33690","2881-33690","Struthers","kid","Struthers-03",3,2,"Struther's_3_2"
"CO_33691","2881-33691","Struthers","kid","Struthers-03",3,2,"Struther's_3_2"
"CO_83056","2811-83056","Struthers","kid","Struthers-10",10,1,"Struther's_10_1"
"CO_83057","2811-83057","Struthers","kid","Struthers-10",10,1,"Struther's_10_1"
"CO_83058","2811-83058","Struthers","kid","Struthers-10",10,1,"Struther's_10_1"
"CO_83059","2811-83059","Struthers","kid","Struthers-10",10,1,"Struther's_10_1"
"CO_83060","2811-83060","Struthers","kid","Struthers-10",10,1,"Struther's_10_1"
"CO_34046","2881-34046","Struthers","kid","Struthers-10",20,2,"Struther's_20_2"
"CO_34047","2881-34047","Struthers","kid","Struthers-10",20,2,"Struther's_20_2"
"CO_34048","2881-34048","Struthers","kid","Struthers-10",20,2,"Struther's_20_2"
"CO_34049","2881-34049","Struthers","kid","Struthers-10",20,2,"Struther's_20_2"
"CO_34050","2881-34050","Struthers","kid","Struthers-10",20,2,"Struther's_20_2"
"CO_64911","2870-64911","CHR","kid","unknown",NA,NA,NA
"CO_83098","2811-83098","Urban Farm Girlz","kid","UrbanFarm-02",2,1,"Urban Farm_2_1"
"CO_83099","2811-83099","Urban Farm Girlz","kid","UrbanFarm-02",2,1,"Urban Farm_2_1"
